id,nom,departement,ville,cp,type,no2_2017,pm10_2017,pm25_2017,geometry,nb_equipements_ville
0931614Z,Collège Jacques Prévert,93,Noisy-le-Grand,93160,secondaire,28.716883087158205,19.8014479595456,12.078883159160617,"c(2.57132695953561, 48.8380316001964)",70
0931621G,Ecole primaire Jean Mermoz,93,Le-Bourget,93350,primaire,31.43126037321053,19.807266122712026,12.081822341680528,"c(2.43375367400846, 48.9371813419174)",13
0931622H,Ecole primaire Econdeaux,93,Épinay-sur-Seine,93800,primaire,30.832960550785057,20.007024334113424,12.23522469460964,"c(2.31036995572344, 48.9597687123679)",54
0931624K,Ecole primaire les Abeilles,93,Noisy-le-Grand,93160,primaire,28.57646353721619,19.78682786789235,12.069964853525162,"c(2.57537339580191, 48.8386944631703)",70
0931625L,Ecole primaire Lacepède 1,93,Épinay-sur-Seine,93800,primaire,29.925143098831175,19.532346869174127,11.9147314786911,"c(2.31475525823567, 48.9571607881816)",54
0931626M,Ecole primaire Voltaire,93,Sevran,93270,primaire,28.772542977333067,19.595257616451484,11.95310736298561,"c(2.52100104209266, 48.9467801598378)",46
0931627N,Ecole primaire Saint Exupéry,93,Villepinte,93420,primaire,26.98311648368836,19.466978519940888,11.874856901168824,"c(2.54194088024245, 48.9636025255982)",37
0931628P,Ecole maternelle Hector Berlioz,93,Bobigny,93000,primaire,34.2231622505188,20.860163276765864,13.33758853673935,"c(2.45317873482599, 48.9069897879996)",54
0931629R,Ecole maternelle Jean Mermoz,93,Le-Bourget,93350,primaire,31.63110959291458,19.87839870209214,12.12534322708845,"c(2.43298994261043, 48.9371183789959)",13
0931630S,Ecole maternelle Anne Frank,93,Stains,93240,primaire,31.69653426609002,19.79969377866793,12.077813288569452,"c(2.38328536881551, 48.9457218347314)",40
